job_title,skills,location,years_experience,education_level,expected_salary
Software Engineer,Docker,Kandy,7.1,Bachelor's Degree,129000
Frontend Developer,"Pandas, AWS",Remote,6.8,Master's Degree,146000
Product Manager,Machine Learning,Colombo,1.5,Master's Degree,177000
DevOps Engineer,"Python, Excel, Docker, Linux, Azure",Kandy,3.1,Bachelor's Degree,139000
Software Engineer,"Docker, Tableau, Python",Galle,5.0,Bachelor's Degree,118000
Business Analyst,"Machine Learning, Docker, Tableau, Azure, Kubernetes, Linux",Kandy,6.9,Master's Degree,159000
Business Analyst,"Tableau, Git",Kandy,2.6,Master's Degree,111000
Software Engineer,"Pandas, Docker",Jaffna,3.4,Master's Degree,114000
Business Analyst,"SQL, Tableau, Pandas",Colombo,0.7,Bachelor's Degree,108000
Software Engineer,"JavaScript, Git, AWS, Docker",Galle,0.4,Master's Degree,116000
Business Analyst,"Python, TensorFlow",Kandy,6.4,Bachelor's Degree,113000
Frontend Developer,Tableau,Galle,8.1,Bachelor's Degree,120000
Product Manager,"TensorFlow, Excel, Azure, Docker",Colombo,3.8,Diploma,168000
Frontend Developer,"Linux, React",Colombo,7.0,Diploma,127000
Fullstack Developer,"Pandas, Tableau, Docker",Jaffna,5.1,Bachelor's Degree,123000
Product Manager,Kubernetes,Remote,2.1,Bachelor's Degree,144000
Software Engineer,"Kubernetes, Python, Azure, Tableau, TensorFlow, JavaScript",Galle,5.1,Bachelor's Degree,136000
Backend Developer,"Docker, TensorFlow, Machine Learning, Pandas, React",Remote,8.6,Bachelor's Degree,164000
Fullstack Developer,"Kubernetes, Pandas, React",Remote,3.9,Diploma,124000
Fullstack Developer,"Kubernetes, TensorFlow, Pandas, SQL, Linux, Excel",Galle,8.7,Bachelor's Degree,170000
Software Engineer,"React, JavaScript, Kubernetes",Remote,0.0,Bachelor's Degree,105000
Backend Developer,"AWS, Git, TensorFlow, JavaScript",Remote,6.5,Bachelor's Degree,146000
DevOps Engineer,"Machine Learning, React, Azure, TensorFlow, Pandas, Linux",Galle,4.3,Diploma,130000
Business Analyst,"React, JavaScript, Tableau, Excel, SQL, Python",Colombo,3.1,Bachelor's Degree,137000
QA Engineer,"Excel, Tableau, Machine Learning, AWS, Kubernetes",Remote,4.3,Bachelor's Degree,112000
Fullstack Developer,"Kubernetes, JavaScript, SQL, TensorFlow",Colombo,0.0,Master's Degree,153000
Data Scientist,"JavaScript, SQL, Tableau, Pandas",Remote,3.3,Bachelor's Degree,154000
Product Manager,"Git, Excel",Colombo,5.1,Bachelor's Degree,179000
QA Engineer,"Azure, Git, Linux, Docker, AWS, Tableau",Remote,8.4,Bachelor's Degree,136000
Product Manager,"Git, SQL, Pandas, AWS",Jaffna,2.4,Bachelor's Degree,136000
Business Analyst,"React, Tableau, Excel, Azure, AWS, JavaScript",Galle,1.6,Bachelor's Degree,105000
Frontend Developer,"React, Docker",Galle,2.5,Master's Degree,111000
Data Scientist,"SQL, JavaScript",Jaffna,6.7,Master's Degree,157000
Business Analyst,Kubernetes,Jaffna,5.0,Bachelor's Degree,96000
QA Engineer,"Python, JavaScript, Kubernetes, Tableau",Remote,2.4,Master's Degree,113000
Software Engineer,"Kubernetes, AWS, Python, Docker, React",Jaffna,5.5,Master's Degree,143000
Fullstack Developer,"Pandas, Git, Azure, Linux, JavaScript",Jaffna,4.3,Bachelor's Degree,131000
Fullstack Developer,"Python, Kubernetes, Docker, TensorFlow",Jaffna,6.9,Master's Degree,159000
QA Engineer,"Linux, Azure",Colombo,1.9,Master's Degree,111000
Software Engineer,TensorFlow,Jaffna,3.0,Diploma,88000
QA Engineer,"Python, React",Jaffna,2.8,Bachelor's Degree,78000
QA Engineer,"Docker, Tableau, Kubernetes",Galle,0.0,Master's Degree,87000
Fullstack Developer,"Excel, Machine Learning, AWS",Colombo,4.9,Master's Degree,182000
Software Engineer,"JavaScript, TensorFlow, Machine Learning",Colombo,4.8,Master's Degree,165000
Business Analyst,"Excel, Python",Remote,4.0,Bachelor's Degree,108000
DevOps Engineer,"TensorFlow, Machine Learning, Linux, JavaScript",Jaffna,3.3,Master's Degree,138000
Backend Developer,"Linux, Git",Colombo,0.0,Master's Degree,126000
DevOps Engineer,"Machine Learning, Linux, Python",Galle,2.7,Bachelor's Degree,118000
Fullstack Developer,"Pandas, JavaScript, Machine Learning, Linux",Kandy,3.0,Diploma,119000
Frontend Developer,"Linux, Tableau, Machine Learning, Git, Python, Docker",Remote,1.6,Bachelor's Degree,123000
Backend Developer,Azure,Galle,3.5,High School,90000
Fullstack Developer,"Machine Learning, Kubernetes, Docker, TensorFlow",Jaffna,5.2,Master's Degree,149000
Fullstack Developer,"Pandas, Azure",Galle,9.7,Bachelor's Degree,147000
Product Manager,"AWS, Kubernetes, Pandas, Linux",Galle,4.5,Bachelor's Degree,158000
Business Analyst,React,Jaffna,4.8,Bachelor's Degree,95000
QA Engineer,"Linux, TensorFlow, Kubernetes, Docker, Python",Jaffna,3.8,Master's Degree,107000
DevOps Engineer,"JavaScript, Docker, Tableau, React",Galle,0.0,Bachelor's Degree,109000
Frontend Developer,"Python, Azure, JavaScript, Machine Learning, Tableau",Jaffna,3.9,Bachelor's Degree,111000
Business Analyst,"AWS, TensorFlow, Pandas, Git, Tableau, Python",Colombo,4.2,Bachelor's Degree,144000
Fullstack Developer,"JavaScript, React, TensorFlow, Linux, Docker, AWS",Remote,11.4,Bachelor's Degree,207000
Fullstack Developer,"Azure, Docker, Excel, Pandas, AWS, React",Galle,3.4,Bachelor's Degree,139000
Data Scientist,"JavaScript, Docker, Machine Learning, Pandas, Azure, SQL",Kandy,4.9,Bachelor's Degree,170000
QA Engineer,"Pandas, Linux, Tableau",Remote,3.9,Bachelor's Degree,100000
Data Scientist,"React, JavaScript",Galle,0.5,Bachelor's Degree,111000
Software Engineer,"Azure, SQL, React, Python, Pandas, Git",Galle,7.4,Master's Degree,170000
DevOps Engineer,"Excel, Tableau, AWS, Machine Learning, Python, Linux",Galle,6.3,Bachelor's Degree,156000
QA Engineer,"SQL, Python, React",Jaffna,6.4,Diploma,85000
Data Scientist,"AWS, Machine Learning, Linux, TensorFlow",Colombo,1.3,Bachelor's Degree,155000
Frontend Developer,JavaScript,Colombo,8.2,Bachelor's Degree,147000
Fullstack Developer,"Linux, Tableau, Git, JavaScript, Azure",Jaffna,0.0,Bachelor's Degree,108000
QA Engineer,"Excel, Linux, Kubernetes",Galle,5.8,Bachelor's Degree,98000
Software Engineer,"Pandas, Machine Learning, Tableau, JavaScript, TensorFlow",Kandy,10.6,Bachelor's Degree,167000
Data Scientist,"JavaScript, SQL",Remote,1.0,Diploma,113000
Software Engineer,"AWS, Pandas, Linux, Git",Galle,2.3,High School,94000
Frontend Developer,"React, Pandas, AWS, Machine Learning, TensorFlow, JavaScript",Galle,4.3,Master's Degree,143000
Business Analyst,"Machine Learning, Azure, JavaScript, TensorFlow",Kandy,2.5,Master's Degree,122000
DevOps Engineer,Python,Kandy,0.0,Master's Degree,120000
Frontend Developer,"Machine Learning, AWS, Pandas, React",Jaffna,4.2,Master's Degree,124000
Product Manager,"AWS, Git, Machine Learning, Linux, Python",Jaffna,0.8,Master's Degree,152000
Frontend Developer,Machine Learning,Kandy,5.4,PhD,149000
Software Engineer,"Excel, React, Linux, Python, SQL, AWS",Remote,1.2,Master's Degree,146000
Frontend Developer,"Linux, Kubernetes",Jaffna,8.6,PhD,150000
QA Engineer,"Kubernetes, Docker, Excel",Colombo,1.7,Master's Degree,115000
Backend Developer,"Pandas, AWS, React, TensorFlow",Jaffna,3.0,Master's Degree,124000
Product Manager,AWS,Colombo,6.4,Bachelor's Degree,189000
Backend Developer,Tableau,Jaffna,0.3,Master's Degree,99000
Software Engineer,"Excel, Azure, AWS, Kubernetes, Python, JavaScript",Remote,4.7,Bachelor's Degree,148000
QA Engineer,"AWS, Tableau, Python, JavaScript, React, Azure",Kandy,7.9,Master's Degree,146000
QA Engineer,"AWS, Machine Learning, Python, TensorFlow, Linux, JavaScript",Kandy,0.0,Bachelor's Degree,91000
Software Engineer,"Kubernetes, Machine Learning, JavaScript, Excel, AWS",Colombo,4.6,Bachelor's Degree,156000
DevOps Engineer,"Git, Pandas, React, Azure",Galle,4.8,Bachelor's Degree,135000
QA Engineer,"JavaScript, AWS, Azure, SQL",Jaffna,6.3,Bachelor's Degree,98000
Product Manager,"Git, SQL, Machine Learning, React, Kubernetes, Docker",Remote,0.3,Bachelor's Degree,158000
Software Engineer,"Pandas, React, Linux",Remote,0.0,PhD,136000
QA Engineer,"AWS, Azure",Jaffna,5.6,Bachelor's Degree,87000
Product Manager,"Kubernetes, AWS, Docker, JavaScript, Pandas",Remote,4.9,Bachelor's Degree,186000
Fullstack Developer,Docker,Jaffna,4.8,Master's Degree,133000
Fullstack Developer,"TensorFlow, Tableau, Git, SQL",Jaffna,5.0,PhD,167000
DevOps Engineer,"Linux, Docker, Machine Learning, AWS, Tableau",Remote,2.0,Master's Degree,160000
Software Engineer,"SQL, Kubernetes, TensorFlow, Git, Machine Learning, AWS",Galle,4.7,Bachelor's Degree,133000
Fullstack Developer,"Machine Learning, Excel, Docker, TensorFlow, Azure, Kubernetes",Galle,4.9,Bachelor's Degree,148000
QA Engineer,"Python, Linux, Machine Learning, JavaScript, TensorFlow",Galle,1.9,PhD,118000
Data Scientist,"Machine Learning, Tableau, TensorFlow, Pandas",Colombo,9.6,Bachelor's Degree,215000
Frontend Developer,Python,Galle,5.4,Master's Degree,125000
Frontend Developer,"Docker, Kubernetes, SQL",Kandy,0.4,Bachelor's Degree,97000
DevOps Engineer,"SQL, Machine Learning",Remote,6.0,Master's Degree,164000
Business Analyst,"Git, Linux, SQL, JavaScript",Jaffna,1.1,Bachelor's Degree,89000
QA Engineer,"TensorFlow, Python, Tableau",Jaffna,6.4,Master's Degree,108000
Product Manager,"Machine Learning, AWS",Galle,7.5,PhD,209000
Frontend Developer,"Kubernetes, Pandas, React, AWS, Tableau, JavaScript",Jaffna,1.5,Master's Degree,120000
Data Scientist,"Kubernetes, Linux",Galle,6.9,Bachelor's Degree,145000
Frontend Developer,Excel,Jaffna,5.2,Bachelor's Degree,102000
Software Engineer,"Pandas, AWS, React, JavaScript, Linux",Galle,6.5,Bachelor's Degree,137000
Business Analyst,"React, TensorFlow, Tableau, Pandas, Excel",Kandy,9.7,Bachelor's Degree,146000
Software Engineer,"Tableau, AWS, Python",Remote,3.3,Bachelor's Degree,122000
DevOps Engineer,Git,Galle,1.7,Bachelor's Degree,107000
Fullstack Developer,"JavaScript, SQL",Remote,1.3,Master's Degree,135000
Backend Developer,"Azure, React, SQL, Excel, AWS",Galle,1.6,Master's Degree,129000
Backend Developer,AWS,Colombo,3.8,Diploma,118000
Business Analyst,"Pandas, TensorFlow, Kubernetes, Azure, Docker, Machine Learning",Jaffna,5.0,High School,98000
Product Manager,AWS,Galle,4.8,Master's Degree,167000
Frontend Developer,"Kubernetes, Excel, TensorFlow, Docker, Machine Learning",Kandy,6.5,Bachelor's Degree,138000
Product Manager,"Git, Linux, JavaScript",Colombo,4.0,Bachelor's Degree,180000
QA Engineer,"React, TensorFlow, Kubernetes, Machine Learning, SQL, Python",Colombo,8.4,Bachelor's Degree,150000
QA Engineer,Machine Learning,Kandy,3.2,Master's Degree,101000
DevOps Engineer,"AWS, Docker, TensorFlow, Pandas",Remote,12.2,Bachelor's Degree,195000
DevOps Engineer,"TensorFlow, Machine Learning, AWS, Linux",Jaffna,5.9,Master's Degree,153000
Frontend Developer,Pandas,Galle,1.4,Bachelor's Degree,91000
QA Engineer,"Excel, Docker",Colombo,0.8,PhD,119000
Backend Developer,"Git, TensorFlow, Docker, Python, Kubernetes",Galle,5.4,Bachelor's Degree,131000
Data Scientist,"Machine Learning, TensorFlow, JavaScript, Excel",Remote,3.3,PhD,200000
Software Engineer,"JavaScript, SQL, Tableau",Remote,6.1,Bachelor's Degree,137000
Product Manager,"Linux, JavaScript",Kandy,5.4,Bachelor's Degree,157000
DevOps Engineer,"Python, React, SQL, Tableau, Azure",Galle,3.8,Master's Degree,156000
Data Scientist,"Excel, Python, SQL, Git, Docker, JavaScript",Remote,1.5,Bachelor's Degree,155000
DevOps Engineer,"Python, SQL, Pandas",Jaffna,0.0,Bachelor's Degree,98000
Data Scientist,"AWS, Tableau, Docker, Azure",Remote,2.7,Diploma,135000
Product Manager,"Linux, Python",Remote,6.6,Bachelor's Degree,173000
Software Engineer,AWS,Jaffna,4.6,Bachelor's Degree,105000
Data Scientist,"Pandas, AWS, Machine Learning, Tableau",Galle,0.3,Bachelor's Degree,121000
Data Scientist,"React, Linux",Remote,4.5,Bachelor's Degree,147000
Backend Developer,"Linux, Azure, React, AWS",Remote,5.2,Bachelor's Degree,139000
Data Scientist,"Machine Learning, Excel, TensorFlow, Tableau, Azure, JavaScript",Jaffna,1.3,Bachelor's Degree,130000
Business Analyst,"Docker, Excel, AWS, Kubernetes",Jaffna,4.5,Master's Degree,119000
Backend Developer,"Docker, TensorFlow, React, Git",Kandy,4.2,Master's Degree,145000
QA Engineer,Machine Learning,Colombo,0.6,Diploma,82000
Data Scientist,"Pandas, Docker, Tableau, SQL, Azure, Python",Remote,5.1,PhD,235000
Product Manager,"TensorFlow, Machine Learning, Kubernetes",Galle,5.7,Master's Degree,182000
Fullstack Developer,"Python, React, Linux, Excel, Docker, Machine Learning",Remote,7.2,Bachelor's Degree,180000
DevOps Engineer,"AWS, JavaScript, Machine Learning, Docker, Azure, Pandas",Colombo,7.2,Master's Degree,227000
Business Analyst,"Excel, Azure, Tableau, Linux",Remote,0.0,Master's Degree,114000
Product Manager,Linux,Galle,1.2,High School,105000
Frontend Developer,"Tableau, React, Docker, Git, Python, SQL",Kandy,5.5,Bachelor's Degree,138000
Fullstack Developer,SQL,Colombo,5.5,Diploma,139000
Product Manager,"Kubernetes, Git",Jaffna,5.5,Bachelor's Degree,141000
Backend Developer,"Pandas, Docker, Tableau",Remote,15.6,Bachelor's Degree,187000
Software Engineer,"SQL, Tableau",Remote,5.7,High School,109000
Data Scientist,"AWS, TensorFlow, Kubernetes",Jaffna,7.4,Bachelor's Degree,147000
Fullstack Developer,"JavaScript, Tableau, Azure",Colombo,6.9,Bachelor's Degree,171000
Data Scientist,"TensorFlow, Git, Linux",Jaffna,6.0,Bachelor's Degree,139000
Frontend Developer,JavaScript,Jaffna,3.1,PhD,121000
Software Engineer,JavaScript,Galle,6.3,Master's Degree,136000
DevOps Engineer,"React, Docker, Machine Learning",Colombo,1.7,Bachelor's Degree,138000
Fullstack Developer,"SQL, Kubernetes",Remote,3.3,Master's Degree,147000
Product Manager,"Excel, TensorFlow, Tableau, Docker, Machine Learning",Jaffna,2.5,Master's Degree,164000
Software Engineer,"Python, AWS, Machine Learning, Docker",Remote,4.2,Bachelor's Degree,133000
Fullstack Developer,"TensorFlow, Kubernetes, React, Machine Learning, Excel, Python",Galle,10.9,Bachelor's Degree,184000
QA Engineer,"Git, Docker, Machine Learning, Kubernetes, Tableau, JavaScript",Jaffna,0.0,Bachelor's Degree,82000
Product Manager,Kubernetes,Galle,6.1,Master's Degree,176000
Business Analyst,"Tableau, SQL, Machine Learning",Remote,0.0,Bachelor's Degree,94000
Product Manager,"JavaScript, Tableau, Docker, Excel, TensorFlow",Kandy,2.6,Bachelor's Degree,160000
DevOps Engineer,"JavaScript, SQL, Linux",Kandy,7.3,Master's Degree,172000
Data Scientist,"Tableau, TensorFlow",Jaffna,4.2,Bachelor's Degree,123000
QA Engineer,"Git, Linux, TensorFlow, Tableau, Excel, Docker",Galle,0.8,Bachelor's Degree,90000
Data Scientist,"AWS, TensorFlow, React, Tableau",Remote,1.9,Diploma,130000
Product Manager,React,Jaffna,6.0,Bachelor's Degree,144000
Software Engineer,"Excel, React, Machine Learning",Colombo,1.8,Bachelor's Degree,126000
Product Manager,"AWS, Linux, Azure, Pandas",Colombo,4.6,Bachelor's Degree,193000
Business Analyst,"Linux, AWS, Azure",Kandy,4.1,PhD,141000
QA Engineer,Tableau,Galle,2.0,PhD,103000
Data Scientist,"TensorFlow, SQL, Python, JavaScript, AWS",Jaffna,10.4,Bachelor's Degree,178000
DevOps Engineer,"Docker, React, Kubernetes",Jaffna,5.9,Master's Degree,146000
Software Engineer,"TensorFlow, Docker, Machine Learning, Excel, Tableau, Azure",Jaffna,0.0,Bachelor's Degree,102000
DevOps Engineer,"Machine Learning, Linux, TensorFlow",Kandy,4.6,Master's Degree,155000
Frontend Developer,"Pandas, TensorFlow, Kubernetes, SQL, Linux, Machine Learning",Galle,2.0,Bachelor's Degree,113000
Backend Developer,"TensorFlow, Pandas",Remote,6.6,Diploma,120000
Fullstack Developer,"Docker, Python, Git, React, SQL",Kandy,1.6,Bachelor's Degree,130000
QA Engineer,"JavaScript, SQL",Kandy,3.7,Diploma,81000
Data Scientist,"Tableau, Azure, Pandas, Excel, Python",Galle,5.5,Master's Degree,182000
DevOps Engineer,"Kubernetes, SQL, Excel, Tableau, Linux",Kandy,6.6,Master's Degree,184000
Software Engineer,"Docker, TensorFlow, Pandas, JavaScript",Jaffna,0.4,Bachelor's Degree,95000
QA Engineer,"Azure, JavaScript",Galle,3.0,PhD,108000
QA Engineer,"Docker, TensorFlow",Remote,2.6,PhD,118000
QA Engineer,"Tableau, Kubernetes, Azure",Remote,2.0,Bachelor's Degree,92000
DevOps Engineer,"Tableau, Linux",Kandy,9.3,Master's Degree,176000
Software Engineer,"AWS, Excel, Docker, Azure, Machine Learning, Pandas",Colombo,5.2,Bachelor's Degree,166000
DevOps Engineer,"AWS, Azure, SQL",Jaffna,0.2,Diploma,89000
Business Analyst,"Git, Docker, Python, Kubernetes",Colombo,6.8,Bachelor's Degree,146000
Backend Developer,"Kubernetes, Machine Learning",Galle,10.4,Bachelor's Degree,137000
Backend Developer,Excel,Galle,7.1,Master's Degree,140000
DevOps Engineer,React,Jaffna,0.0,Master's Degree,108000
DevOps Engineer,"AWS, Git, Linux, Python, Machine Learning, Pandas",Galle,2.5,Bachelor's Degree,134000
DevOps Engineer,"Pandas, Linux, Azure, Kubernetes, Machine Learning",Galle,7.8,Bachelor's Degree,158000
Data Scientist,JavaScript,Jaffna,1.9,Bachelor's Degree,112000
QA Engineer,Machine Learning,Jaffna,5.3,Bachelor's Degree,86000
Software Engineer,"Azure, Linux, JavaScript, Pandas, SQL, React",Jaffna,6.3,High School,114000
Backend Developer,"Linux, Kubernetes",Kandy,1.2,Master's Degree,116000
Data Scientist,"Docker, Machine Learning, Azure, Tableau, Pandas",Remote,3.8,Bachelor's Degree,164000
Fullstack Developer,"Python, TensorFlow, Kubernetes, Docker",Galle,0.0,Master's Degree,125000
Backend Developer,Docker,Kandy,0.9,Master's Degree,114000
Data Scientist,"Pandas, Tableau, Docker, SQL, Python",Galle,3.2,Bachelor's Degree,144000
DevOps Engineer,"AWS, Pandas, Git, TensorFlow, SQL, Excel",Colombo,0.3,Master's Degree,169000
QA Engineer,React,Kandy,8.9,High School,93000
Business Analyst,Docker,Galle,0.0,Bachelor's Degree,81000
Product Manager,"React, Python, Tableau, TensorFlow",Kandy,2.7,Bachelor's Degree,154000
Software Engineer,"Docker, React, Machine Learning, Git, Kubernetes, TensorFlow",Jaffna,4.4,Master's Degree,143000
Fullstack Developer,"SQL, AWS, Pandas",Jaffna,8.3,Bachelor's Degree,139000
Product Manager,"Tableau, Machine Learning, Pandas",Jaffna,0.0,Diploma,104000
DevOps Engineer,"React, Docker, Machine Learning, Tableau, Excel",Galle,7.5,Bachelor's Degree,157000
Fullstack Developer,"Pandas, AWS",Galle,4.0,Bachelor's Degree,119000
Backend Developer,"Kubernetes, React, TensorFlow, Python, Machine Learning",Jaffna,1.1,Bachelor's Degree,103000
DevOps Engineer,SQL,Remote,5.4,Master's Degree,161000
QA Engineer,SQL,Colombo,4.6,Bachelor's Degree,108000
Backend Developer,"Kubernetes, Linux, Python",Remote,2.2,Bachelor's Degree,117000
QA Engineer,"Docker, AWS, Tableau",Colombo,4.2,Bachelor's Degree,112000
Product Manager,"Kubernetes, Docker, TensorFlow",Galle,2.8,Bachelor's Degree,140000
Data Scientist,Pandas,Kandy,4.3,Bachelor's Degree,139000
Fullstack Developer,"Machine Learning, React, Tableau, Excel, AWS",Kandy,6.0,PhD,203000
Frontend Developer,"Git, AWS, JavaScript, Machine Learning, SQL, Pandas",Jaffna,8.8,Bachelor's Degree,140000
QA Engineer,Tableau,Galle,0.3,Master's Degree,84000
Data Scientist,"Azure, React, Excel, SQL, TensorFlow",Kandy,10.4,Master's Degree,229000
Product Manager,"Machine Learning, JavaScript",Kandy,0.0,Bachelor's Degree,124000
QA Engineer,Docker,Remote,3.5,Bachelor's Degree,94000
QA Engineer,"SQL, Linux, Machine Learning, Tableau, React",Jaffna,5.8,PhD,131000
QA Engineer,"Kubernetes, Tableau, Git, Linux, Machine Learning",Kandy,4.8,PhD,141000
Data Scientist,"AWS, TensorFlow, Azure, Docker",Kandy,2.1,Master's Degree,159000
Product Manager,"Linux, SQL, Tableau, Excel, Kubernetes, Azure",Colombo,3.4,Master's Degree,231000
Product Manager,"React, SQL",Kandy,2.5,Bachelor's Degree,139000
Business Analyst,"Azure, React, Machine Learning",Galle,2.2,Bachelor's Degree,94000
Product Manager,"SQL, TensorFlow, React",Remote,6.5,Bachelor's Degree,181000
Product Manager,"SQL, Linux, Excel, Git, Pandas, Tableau",Remote,5.1,Bachelor's Degree,196000
Software Engineer,Machine Learning,Colombo,1.9,Master's Degree,139000
Frontend Developer,"JavaScript, Tableau, Linux, Kubernetes, Excel, Python",Jaffna,6.7,Master's Degree,149000
Product Manager,"TensorFlow, React, AWS",Kandy,4.9,Master's Degree,186000
Fullstack Developer,"AWS, Machine Learning, Pandas",Colombo,6.4,Bachelor's Degree,168000
Fullstack Developer,"AWS, JavaScript, Docker, Linux",Kandy,5.9,Bachelor's Degree,149000
Backend Developer,"Excel, Docker, Kubernetes, SQL, Git, Azure",Remote,1.5,Diploma,116000
Business Analyst,"Machine Learning, React, AWS, JavaScript",Kandy,2.3,Diploma,94000
Frontend Developer,"Excel, Linux, Kubernetes, JavaScript",Kandy,6.2,Master's Degree,150000
Backend Developer,"Tableau, SQL",Jaffna,5.8,PhD,143000
QA Engineer,"Git, React, AWS, Python",Colombo,3.9,Master's Degree,133000
Product Manager,"JavaScript, Git, Linux, Docker",Colombo,4.4,Diploma,173000
QA Engineer,"Git, Excel, TensorFlow, Tableau, AWS",Galle,7.8,Bachelor's Degree,115000
Data Scientist,"SQL, React, Pandas, Docker",Jaffna,2.2,Bachelor's Degree,125000
Fullstack Developer,Linux,Remote,5.6,Bachelor's Degree,141000
Product Manager,"Machine Learning, Kubernetes, Azure",Jaffna,3.4,Master's Degree,156000
Frontend Developer,"TensorFlow, Linux, Machine Learning, SQL, Tableau",Jaffna,3.3,Bachelor's Degree,108000
Backend Developer,"Docker, Tableau, SQL, JavaScript, Linux",Remote,7.3,Bachelor's Degree,157000
Software Engineer,Python,Kandy,6.5,Master's Degree,145000
